Agriculture,0.0,0.0,0.0,0.003048780487804878,0.0,0.0,0.0035211267605633804,0.0,0.002044989775051125,0.002070393374741201,0.002457002457002457,0.0,0.0033333333333333335,0.0228310502283105,0.004524886877828055,0.0,0.0,0.0035335689045936395,0.004629629629629629,0.0015723270440251573,0.006329113924050633,0.004784688995215311,0.0109204368174727,0.0014124293785310734,0.007778738115816767,0.005516154452324665,0.009900990099009901
Reporting,0.7481481481481481,0.6769759450171822,0.6,0.6128048780487805,0.5347432024169184,0.4444444444444444,0.31690140845070425,0.3888888888888889,0.5296523517382413,0.46790890269151136,0.3095823095823096,0.24754901960784315,0.1,0.0821917808219178,0.004524886877828055,0.0038461538461538464,0.006993006993006993,0.0035335689045936395,0.023148148148148147,0.0015723270440251573,0.002531645569620253,0.0,0.0,0.0,0.0,0.0,0.0
Botany 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007861635220125786,0.002531645569620253,0.01594896331738437,0.0171606864274571,0.026836158192090395,0.025064822817631807,0.018912529550827423,0.0297029702970297
Immunology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022328548644338118,0.0327613104524181,0.02824858757062147,0.04407951598962835,0.09535066981875492,0.0
Nervous System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.02830188679245283,0.01139240506329114,0.02073365231259968,0.0405616224648986,0.059322033898305086,0.03197925669835782,0.029156816390858944,0.0
Physiology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.01139240506329114,0.022328548644338118,0.0327613104524181,0.038135593220338986,0.07605877268798616,0.06698187549251379,0.009900990099009901
Paleontology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.004914004914004914,0.0,0.0033333333333333335,0.0,0.0,0.015384615384615385,0.006993006993006993,0.02120141342756184,0.041666666666666664,0.06132075471698113,0.021518987341772152,0.049441786283891544,0.0249609984399376,0.02401129943502825,0.01296456352636128,0.009456264775413711,0.019801980198019802
Headmatter,0.0,0.0,0.0044444444444444444,0.003048780487804878,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0015723270440251573,0.0012658227848101266,0.006379585326953748,0.0093603744149766,0.002824858757062147,0.001728608470181504,0.0,0.0
Neurology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029239766081871343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028268551236749116,0.037037037037037035,0.0110062893081761,0.024050632911392405,0.004784688995215311,0.0202808112324493,0.0211864406779661,0.014693171996542784,0.009456264775413711,0.0
Biology 2,0.07777777777777778,0.0859106529209622,0.14666666666666667,0.17378048780487804,0.2054380664652568,0.15555555555555556,0.23591549295774647,0.1871345029239766,0.17995910020449898,0.20082815734989648,0.12285012285012285,0.12745098039215685,0.08,0.1552511415525114,0.26244343891402716,0.24615384615384617,0.21678321678321677,0.0812720848056537,0.06944444444444445,0.03773584905660377,0.02531645569620253,0.007974481658692184,0.0015600624024961,0.0014124293785310734,0.0,0.0,0.0
Botany 2,0.007407407407407408,0.01718213058419244,0.008888888888888889,0.042682926829268296,0.03625377643504532,0.06111111111111111,0.035211267605633804,0.023391812865497075,0.022494887525562373,0.045548654244306416,0.044226044226044224,0.041666666666666664,0.023333333333333334,0.0091324200913242,0.00904977375565611,0.0038461538461538464,0.0,0.007067137809187279,0.0,0.0015723270440251573,0.0012658227848101266,0.05582137161084529,0.0015600624024961,0.0,0.00432152117545376,0.0015760441292356187,0.0
Anatomy 2,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.002044989775051125,0.0,0.002457002457002457,0.0024509803921568627,0.01,0.0091324200913242,0.00904977375565611,0.03461538461538462,0.017482517482517484,0.0,0.032407407407407406,0.026729559748427674,0.02531645569620253,0.0430622009569378,0.0483619344773791,0.02401129943502825,0.00864304235090752,0.0031520882584712374,0.009900990099009901
Anatomy 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004524886877828055,0.0,0.0,0.0,0.004629629629629629,0.007861635220125786,0.0037974683544303796,0.01594896331738437,0.029641185647425898,0.00847457627118644,0.003457216940363008,0.003940110323089046,0.009900990099009901
-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
SHARE OF SECONDARY TOPIC REFERENCES
Geography,0.04814814814814815,0.07216494845360824,0.06666666666666667,0.07926829268292683,0.08157099697885196,0.1,0.04225352112676056,0.03216374269005848,0.04294478527607362,0.08695652173913043,0.06388206388206388,0.04656862745098039,0.02666666666666667,0.0319634703196347,0.01809954751131222,0.023076923076923078,0.027972027972027972,0.02120141342756184,0.037037037037037035,0.0330188679245283,0.030379746835443037,0.04146730462519936,0.0234009360374415,0.015536723163841809,0.014693171996542784,0.013396375098502758,0.0
Thermodynamics,0.0,0.003436426116838488,0.013333333333333334,0.003048780487804878,0.0030211480362537764,0.011111111111111112,0.007042253521126761,0.0029239766081871343,0.0,0.0,0.002457002457002457,0.004901960784313725,0.043333333333333335,0.0091324200913242,0.03619909502262444,0.046153846153846156,0.045454545454545456,0.014134275618374558,0.023148148148148147,0.08018867924528301,0.0810126582278481,0.09728867623604466,0.10140405616224649,0.08050847457627118,0.10890233362143474,0.08747044917257683,0.10891089108910891
Electricity,0.0,0.0,0.0,0.0,0.006042296072507553,0.0,0.0,0.008771929824561403,0.0081799591002045,0.008281573498964804,0.007371007371007371,0.02696078431372549,0.02666666666666667,0.0091324200913242,0.01809954751131222,0.011538461538461539,0.038461538461538464,0.03180212014134275,0.05555555555555555,0.0330188679245283,0.026582278481012658,0.03508771929824561,0.059282371294851796,0.0692090395480226,0.06050129645635264,0.04412923561859732,0.0891089108910891
Formulae,0.011111111111111112,0.006872852233676976,0.022222222222222223,0.009146341463414634,0.0,0.005555555555555556,0.0,0.005847953216374269,0.006134969325153374,0.014492753623188406,0.029484029484029485,0.0196078431372549,0.03333333333333333,0.0319634703196347,0.004524886877828055,0.023076923076923078,0.045454545454545456,0.053003533568904596,0.06481481481481481,0.03930817610062893,0.0379746835443038,0.02711323763955343,0.029641185647425898,0.025423728813559324,0.01296456352636128,0.019700551615445233,0.009900990099009901
Tables,0.003703703703703704,0.003436426116838488,0.0,0.003048780487804878,0.0030211480362537764,0.011111111111111112,0.0035211267605633804,0.0,0.002044989775051125,0.002070393374741201,0.007371007371007371,0.00980392156862745,0.02666666666666667,0.0091324200913242,0.00904977375565611,0.03461538461538462,0.013986013986013986,0.02120141342756184,0.06018518518518518,0.05817610062893082,0.09240506329113925,0.12440191387559808,0.15756630265210608,0.20480225988700565,0.2048401037165082,0.2639873916469661,0.3069306930693069
